Count,Filename_0,Dev6/ai0,Dev6/ai1,-,load,displacement
395,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00395_0.tif,1.6728,2.6071,0,501.84,26.071
396,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00396_0.tif,1.6677,2.6122,0,500.31,26.122
397,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00397_0.tif,1.6627,2.6173,0,498.81,26.173
398,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00398_0.tif,1.6525,2.6223,0,495.75,26.223
399,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00399_0.tif,1.6474,2.6325,0,494.22,26.325
400,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00400_0.tif,1.6423,2.6376,0,492.69,26.376
401,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00401_0.tif,1.6321,2.6427,0,489.63,26.427
402,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00402_0.tif,1.6271,2.6529,0,488.13,26.529
403,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00403_0.tif,1.622,2.658,0,486.6,26.58
404,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00404_0.tif,1.6169,2.663,0,485.07,26.63
405,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00405_0.tif,1.6067,2.6732,0,482.01,26.732
406,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00406_0.tif,1.6016,2.6783,0,480.48,26.783
407,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00407_0.tif,1.5915,2.6885,0,477.45,26.885
408,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00408_0.tif,1.5864,2.6936,0,475.92,26.936
409,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00409_0.tif,1.5813,2.6987,0,474.39,26.987
410,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00410_0.tif,1.5711,2.7088,0,471.33,27.088
411,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00411_0.tif,1.566,2.7139,0,469.8,27.139
412,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00412_0.tif,1.5609,2.719,0,468.27,27.19
413,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00413_0.tif,1.5558,2.7292,0,466.74,27.292
414,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00414_0.tif,1.5508,2.7292,0,465.24,27.292
415,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00415_0.tif,1.5406,2.7394,0,462.18,27.394
416,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00416_0.tif,1.5355,2.7444,0,460.65,27.444
417,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00417_0.tif,1.5253,2.7495,0,457.59,27.495
418,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00418_0.tif,1.5202,2.7597,0,456.06,27.597
419,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00419_0.tif,1.5152,2.7648,0,454.56,27.648
420,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00420_0.tif,1.505,2.7699,0,451.5,27.699
421,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00421_0.tif,1.4999,2.775,0,449.97,27.75
422,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00422_0.tif,1.4948,2.7851,0,448.44,27.851
423,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00423_0.tif,1.4897,2.7902,0,446.91,27.902
424,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00424_0.tif,1.4796,2.8004,0,443.88,28.004
425,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00425_0.tif,1.4745,2.8055,0,442.35,28.055
426,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00426_0.tif,1.4694,2.8106,0,440.82,28.106
427,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00427_0.tif,1.4592,2.8157,0,437.76,28.157
428,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00428_0.tif,1.4541,2.8258,0,436.23,28.258
429,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00429_0.tif,1.449,2.8309,0,434.7,28.309
430,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00430_0.tif,1.444,2.8411,0,433.2,28.411
431,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00431_0.tif,1.4389,2.8411,0,431.67,28.411
432,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00432_0.tif,1.4338,2.8513,0,430.14,28.513
433,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00433_0.tif,1.4236,2.8615,0,427.08,28.615
434,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00434_0.tif,1.4185,2.8665,0,425.55,28.665
435,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00435_0.tif,1.4134,2.8716,0,424.02,28.716
436,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00436_0.tif,1.4084,2.8767,0,422.52,28.767
437,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00437_0.tif,1.3982,2.8869,0,419.46,28.869
438,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00438_0.tif,1.3931,2.892,0,417.93,28.92
439,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00439_0.tif,1.388,2.9022,0,416.4,29.022
440,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00440_0.tif,1.3829,2.9072,0,414.87,29.072
441,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00441_0.tif,1.3778,2.9123,0,413.34,29.123
442,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00442_0.tif,1.3677,2.9174,0,410.31,29.174
443,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00443_0.tif,1.3626,2.9225,0,408.78,29.225
444,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00444_0.tif,1.3575,2.9327,0,407.25,29.327
445,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00445_0.tif,1.3524,2.9378,0,405.72,29.378
446,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00446_0.tif,1.3473,2.9429,0,404.19,29.429
447,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00447_0.tif,1.3371,2.953,0,401.13,29.53
448,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00448_0.tif,1.3321,2.9581,0,399.63,29.581
449,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00449_0.tif,1.327,2.9632,0,398.1,29.632
450,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00450_0.tif,1.3219,2.9734,0,396.57,29.734
451,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00451_0.tif,1.3117,2.9785,0,393.51,29.785
452,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00452_0.tif,1.3117,2.9836,0,393.51,29.836
453,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00453_0.tif,1.3015,2.9887,0,390.45,29.887
454,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00454_0.tif,1.2965,2.9988,0,388.95,29.988
455,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00455_0.tif,1.2914,3.0039,0,387.42,30.039
456,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00456_0.tif,1.2863,3.0141,0,385.89,30.141
457,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00457_0.tif,1.2761,3.0192,0,382.83,30.192
458,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00458_0.tif,1.271,3.0243,0,381.3,30.243
459,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00459_0.tif,1.2659,3.0344,0,379.77,30.344
460,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00460_0.tif,1.2609,3.0395,0,378.27,30.395
461,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00461_0.tif,1.2558,3.0446,0,376.74,30.446
462,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00462_0.tif,1.2456,3.0497,0,373.68,30.497
463,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00463_0.tif,1.2405,3.0599,0,372.15,30.599
464,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00464_0.tif,1.2354,3.065,0,370.62,30.65
465,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00465_0.tif,1.2303,3.0701,0,369.09,30.701
466,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00466_0.tif,1.2252,3.0802,0,367.56,30.802
467,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00467_0.tif,1.2202,3.0853,0,366.06,30.853
468,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00468_0.tif,1.2151,3.0904,0,364.53,30.904
469,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00469_0.tif,1.21,3.1006,0,363,31.006
470,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00470_0.tif,1.1998,3.1057,0,359.94,31.057
471,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00471_0.tif,1.1998,3.1108,0,359.94,31.108
472,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00472_0.tif,1.1896,3.1158,0,356.88,31.158
473,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00473_0.tif,1.1846,3.126,0,355.38,31.26
474,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00474_0.tif,1.1795,3.1311,0,353.85,31.311
475,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00475_0.tif,1.1744,3.1413,0,352.32,31.413
476,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00476_0.tif,1.1693,3.1413,0,350.79,31.413
477,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00477_0.tif,1.1642,3.1515,0,349.26,31.515
478,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00478_0.tif,1.154,3.1616,0,346.2,31.616
479,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00479_0.tif,1.154,3.1667,0,346.2,31.667
480,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00480_0.tif,1.149,3.1718,0,344.7,31.718
481,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00481_0.tif,1.1388,3.182,0,341.64,31.82
482,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00482_0.tif,1.1337,3.182,0,340.11,31.82
483,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00483_0.tif,1.1286,3.1922,0,338.58,31.922
484,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00484_0.tif,1.1235,3.1972,0,337.05,31.972
485,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00485_0.tif,1.1184,3.2023,0,335.52,32.023
486,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00486_0.tif,1.1134,3.2125,0,334.02,32.125
487,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00487_0.tif,1.1083,3.2176,0,332.49,32.176
488,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00488_0.tif,1.1032,3.2227,0,330.96,32.227
489,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00489_0.tif,1.093,3.2329,0,327.9,32.329
490,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00490_0.tif,1.0879,3.2379,0,326.37,32.379
491,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00491_0.tif,1.0879,3.2481,0,326.37,32.481
492,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00492_0.tif,1.0777,3.2532,0,323.31,32.532
493,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00493_0.tif,1.0727,3.2634,0,321.81,32.634
494,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00494_0.tif,1.0727,3.2634,0,321.81,32.634
495,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00495_0.tif,1.0625,3.2685,0,318.75,32.685
496,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00496_0.tif,1.0574,3.2736,0,317.22,32.736
497,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00497_0.tif,1.0523,3.2837,0,315.69,32.837
498,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00498_0.tif,1.0472,3.2888,0,314.16,32.888
499,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00499_0.tif,1.0421,3.299,0,312.63,32.99
500,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00500_0.tif,1.0371,3.3041,0,311.13,33.041
501,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00501_0.tif,1.032,3.3092,0,309.6,33.092
502,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00502_0.tif,1.0269,3.3193,0,308.07,33.193
503,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00503_0.tif,1.0218,3.3244,0,306.54,33.244
504,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00504_0.tif,1.0167,3.3295,0,305.01,33.295
505,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00505_0.tif,1.0116,3.3397,0,303.48,33.397
506,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00506_0.tif,1.0065,3.3448,0,301.95,33.448
507,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00507_0.tif,1.0015,3.3499,0,300.45,33.499
508,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00508_0.tif,0.9964,3.355,0,298.92,33.55
509,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00509_0.tif,0.9913,3.3651,0,297.39,33.651
510,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00510_0.tif,0.9913,3.3702,0,297.39,33.702
511,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00511_0.tif,0.9811,3.3804,0,294.33,33.804
512,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00512_0.tif,0.976,3.3855,0,292.8,33.855
513,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00513_0.tif,0.9709,3.3906,0,291.27,33.906
514,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00514_0.tif,0.9659,3.3957,0,289.77,33.957
515,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00515_0.tif,0.9608,3.4007,0,288.24,34.007
516,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00516_0.tif,0.9557,3.4109,0,286.71,34.109
517,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00517_0.tif,0.9506,3.416,0,285.18,34.16
518,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00518_0.tif,0.9455,3.4262,0,283.65,34.262
519,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00519_0.tif,0.9455,3.4313,0,283.65,34.313
520,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00520_0.tif,0.9353,3.4364,0,280.59,34.364
521,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00521_0.tif,0.9302,3.4415,0,279.06,34.415
522,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00522_0.tif,0.9302,3.4516,0,279.06,34.516
523,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00523_0.tif,0.9252,3.4567,0,277.56,34.567
524,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00524_0.tif,0.9201,3.4618,0,276.03,34.618
525,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00525_0.tif,0.9099,3.472,0,272.97,34.72
526,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00526_0.tif,0.9099,3.4771,0,272.97,34.771
527,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00527_0.tif,0.9048,3.4872,0,271.44,34.872
528,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00528_0.tif,0.8997,3.4923,0,269.91,34.923
529,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00529_0.tif,0.8946,3.4974,0,268.38,34.974
530,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00530_0.tif,0.8896,3.5025,0,266.88,35.025
531,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00531_0.tif,0.8845,3.5127,0,265.35,35.127
532,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00532_0.tif,0.8794,3.5178,0,263.82,35.178
533,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00533_0.tif,0.8743,3.5279,0,262.29,35.279
534,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00534_0.tif,0.8692,3.5279,0,260.76,35.279
535,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00535_0.tif,0.8692,3.5381,0,260.76,35.381
536,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00536_0.tif,0.859,3.5483,0,257.7,35.483
537,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00537_0.tif,0.8285,3.5432,0,248.55,35.432
538,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00538_0.tif,0.8082,3.5432,0,242.46,35.432
