Count,Filename_0,Dev6/ai0,Dev6/ai1,-,load,displacement
223,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00223_0.tif,3.0156,1.4573,0,904.68,14.573
224,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00224_0.tif,3.0054,1.4674,0,901.62,14.674
225,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00225_0.tif,2.9952,1.4725,0,898.56,14.725
226,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00226_0.tif,2.9902,1.4827,0,897.06,14.827
227,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00227_0.tif,2.98,1.4878,0,894,14.878
228,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00228_0.tif,2.9749,1.4929,0,892.47,14.929
229,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00229_0.tif,2.9647,1.498,0,889.41,14.98
230,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00230_0.tif,2.9596,1.5082,0,887.88,15.082
231,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00231_0.tif,2.9444,1.5132,0,883.32,15.132
232,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00232_0.tif,2.9393,1.5234,0,881.79,15.234
233,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00233_0.tif,2.924,1.5285,0,877.2,15.285
234,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00234_0.tif,2.9189,1.5336,0,875.67,15.336
235,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00235_0.tif,2.9088,1.5438,0,872.64,15.438
236,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00236_0.tif,2.9037,1.5489,0,871.11,15.489
237,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00237_0.tif,2.8935,1.5539,0,868.05,15.539
238,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00238_0.tif,2.8833,1.559,0,864.99,15.59
239,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00239_0.tif,2.8783,1.5641,0,863.49,15.641
240,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00240_0.tif,2.863,1.5743,0,858.9,15.743
241,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00241_0.tif,2.8579,1.5794,0,857.37,15.794
242,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00242_0.tif,2.8477,1.5896,0,854.31,15.896
243,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00243_0.tif,2.8376,1.5946,0,851.28,15.946
244,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00244_0.tif,2.8274,1.5997,0,848.22,15.997
245,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00245_0.tif,2.8223,1.6048,0,846.69,16.048
246,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00246_0.tif,2.8121,1.615,0,843.63,16.15
247,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00247_0.tif,2.802,1.6201,0,840.6,16.201
248,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00248_0.tif,2.7969,1.6303,0,839.07,16.303
249,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00249_0.tif,2.7867,1.6353,0,836.01,16.353
250,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00250_0.tif,2.7765,1.6404,0,832.95,16.404
251,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00251_0.tif,2.7714,1.6455,0,831.42,16.455
252,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00252_0.tif,2.7613,1.6557,0,828.39,16.557
253,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00253_0.tif,2.7511,1.6608,0,825.33,16.608
254,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00254_0.tif,2.746,1.671,0,823.8,16.71
255,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00255_0.tif,2.7358,1.676,0,820.74,16.76
256,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00256_0.tif,2.7308,1.6811,0,819.24,16.811
257,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00257_0.tif,2.7206,1.6862,0,816.18,16.862
258,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00258_0.tif,2.7104,1.6964,0,813.12,16.964
259,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00259_0.tif,2.7053,1.7015,0,811.59,17.015
260,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00260_0.tif,2.6952,1.7066,0,808.56,17.066
261,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00261_0.tif,2.685,1.7167,0,805.5,17.167
262,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00262_0.tif,2.6799,1.7218,0,803.97,17.218
263,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00263_0.tif,2.6748,1.7269,0,802.44,17.269
264,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00264_0.tif,2.6596,1.732,0,797.88,17.32
265,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00265_0.tif,2.6545,1.7371,0,796.35,17.371
266,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00266_0.tif,2.6494,1.7473,0,794.82,17.473
267,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00267_0.tif,2.6392,1.7524,0,791.76,17.524
