Count,Filename_0,Dev6/ai0,Dev6/ai1,,Load (N),displacement(mm)
239,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00239_0.tif,3.0868,1.5641,,926.04,15.641
240,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00240_0.tif,3.0715,1.5743,,921.45,15.743
241,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00241_0.tif,3.0614,1.5794,,918.42,15.794
242,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00242_0.tif,3.0461,1.5845,,913.83,15.845
243,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00243_0.tif,3.0359,1.5896,,910.77,15.896
244,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00244_0.tif,3.0258,1.5997,,907.74,15.997
245,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00245_0.tif,3.0105,1.6048,,903.15,16.048
246,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00246_0.tif,3.0003,1.6099,,900.09,16.099
247,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00247_0.tif,2.9851,1.6201,,895.53,16.201
248,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00248_0.tif,2.9749,1.6252,,892.47,16.252
249,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00249_0.tif,2.9647,1.6353,,889.41,16.353
250,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00250_0.tif,2.9495,1.6404,,884.85,16.404
251,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00251_0.tif,2.9393,1.6455,,881.79,16.455
252,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00252_0.tif,2.924,1.6506,,877.2,16.506
253,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00253_0.tif,2.9139,1.6608,,874.17,16.608
254,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00254_0.tif,2.9037,1.6659,,871.11,16.659
255,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00255_0.tif,2.8935,1.671,,868.05,16.71
256,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00256_0.tif,2.8783,1.6811,,863.49,16.811
257,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00257_0.tif,2.8681,1.6862,,860.43,16.862
258,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00258_0.tif,2.8579,1.6913,,857.37,16.913
259,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00259_0.tif,2.8427,1.7015,,852.81,17.015
260,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00260_0.tif,2.8325,1.7015,,849.75,17.015
261,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00261_0.tif,2.8223,1.7117,,846.69,17.117
262,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00262_0.tif,2.8121,1.7167,,843.63,17.167
263,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00263_0.tif,2.802,1.7218,,840.6,17.218
264,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00264_0.tif,2.7867,1.732,,836.01,17.32
265,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00265_0.tif,2.7765,1.7371,,832.95,17.371
266,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00266_0.tif,2.7664,1.7473,,829.92,17.473
267,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00267_0.tif,2.7562,1.7574,,826.86,17.574
268,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00268_0.tif,2.7409,1.7574,,822.27,17.574
269,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00269_0.tif,2.7308,1.7625,,819.24,17.625
270,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00270_0.tif,2.7155,1.7727,,814.65,17.727
271,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00271_0.tif,2.7053,1.7778,,811.59,17.778
272,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00272_0.tif,2.6952,1.7829,,808.56,17.829
273,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00273_0.tif,2.685,1.7931,,805.5,17.931
274,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00274_0.tif,2.6697,1.7981,,800.91,17.981
275,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00275_0.tif,2.6596,1.8032,,797.88,18.032
276,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00276_0.tif,2.6494,1.8083,,794.82,18.083
277,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00277_0.tif,2.6392,1.8185,,791.76,18.185
278,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00278_0.tif,2.6239,1.8236,,787.17,18.236
279,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00279_0.tif,2.6138,1.8338,,784.14,18.338
280,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00280_0.tif,2.6036,1.8388,,781.08,18.388
281,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00281_0.tif,2.5883,1.8439,,776.49,18.439
282,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00282_0.tif,2.5782,1.849,,773.46,18.49
283,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00283_0.tif,2.5629,1.8592,,768.87,18.592
284,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00284_0.tif,2.5527,1.8643,,765.81,18.643
285,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00285_0.tif,2.5426,1.8745,,762.78,18.745
286,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00286_0.tif,2.5324,1.8795,,759.72,18.795
287,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00287_0.tif,2.5222,1.8846,,756.66,18.846
288,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00288_0.tif,2.507,1.8897,,752.1,18.897
289,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00289_0.tif,2.4968,1.8999,,749.04,18.999
290,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00290_0.tif,2.4866,1.905,,745.98,19.05
291,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00291_0.tif,2.4714,1.9101,,741.42,19.101
292,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00292_0.tif,2.4612,1.9202,,738.36,19.202
293,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00293_0.tif,2.451,1.9253,,735.3,19.253
294,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00294_0.tif,2.4358,1.9304,,730.74,19.304
295,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00295_0.tif,2.4307,1.9406,,729.21,19.406
296,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00296_0.tif,2.4154,1.9457,,724.62,19.457
297,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00297_0.tif,2.4052,1.9508,,721.56,19.508
298,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00298_0.tif,2.39,1.9609,,717,19.609
299,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00299_0.tif,2.3798,1.966,,713.94,19.66
300,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00300_0.tif,2.3747,1.9711,,712.41,19.711
301,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00301_0.tif,2.3595,1.9762,,707.85,19.762
302,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00302_0.tif,2.3493,1.9813,,704.79,19.813
303,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00303_0.tif,2.3391,1.9915,,701.73,19.915
304,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00304_0.tif,2.329,1.9966,,698.7,19.966
305,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00305_0.tif,2.3188,2.0067,,695.64,20.067
306,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00306_0.tif,2.3035,2.0067,,691.05,20.067
307,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00307_0.tif,2.2933,2.0169,,687.99,20.169
308,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00308_0.tif,2.2832,2.0271,,684.96,20.271
309,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00309_0.tif,2.2679,2.0322,,680.37,20.322
310,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00310_0.tif,2.2628,2.0373,,678.84,20.373
311,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00311_0.tif,2.2527,2.0474,,675.81,20.474
312,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00312_0.tif,2.2425,2.0474,,672.75,20.474
313,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00313_0.tif,2.2272,2.0576,,668.16,20.576
314,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00314_0.tif,2.2171,2.0678,,665.13,20.678
315,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00315_0.tif,2.212,2.0678,,663.6,20.678
316,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00316_0.tif,2.1967,2.078,,659.01,20.78
317,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00317_0.tif,2.1865,2.0831,,655.95,20.831
318,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00318_0.tif,2.1764,2.0932,,652.92,20.932
319,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00319_0.tif,2.1662,2.0983,,649.86,20.983
320,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00320_0.tif,2.156,2.1034,,646.8,21.034
321,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00321_0.tif,2.1458,2.1085,,643.74,21.085
322,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00322_0.tif,2.1357,2.1187,,640.71,21.187
323,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00323_0.tif,2.1255,2.1238,,637.65,21.238
324,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00324_0.tif,2.1102,2.1288,,633.06,21.288
325,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00325_0.tif,2.1052,2.139,,631.56,21.39
326,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00326_0.tif,2.095,2.1441,,628.5,21.441
327,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00327_0.tif,2.0848,2.1492,,625.44,21.492
328,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00328_0.tif,2.0746,2.1594,,622.38,21.594
329,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00329_0.tif,2.0645,2.1645,,619.35,21.645
330,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00330_0.tif,2.0543,2.1695,,616.29,21.695
331,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00331_0.tif,2.0441,2.1797,,613.23,21.797
332,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00332_0.tif,2.034,2.1848,,610.2,21.848
333,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00333_0.tif,2.0238,2.1899,,607.14,21.899
334,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00334_0.tif,2.0085,2.2001,,602.55,22.001
335,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00335_0.tif,2.0034,2.2052,,601.02,22.052
336,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00336_0.tif,1.9933,2.2102,,597.99,22.102
337,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00337_0.tif,1.9831,2.2153,,594.93,22.153
338,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00338_0.tif,1.9729,2.2255,,591.87,22.255
339,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00339_0.tif,1.9627,2.2306,,588.81,22.306
340,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00340_0.tif,1.9526,2.2408,,585.78,22.408
341,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00341_0.tif,1.9424,2.2459,,582.72,22.459
342,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00342_0.tif,1.9322,2.2509,,579.66,22.509
343,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00343_0.tif,1.9221,2.256,,576.63,22.56
344,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00344_0.tif,1.9119,2.2662,,573.57,22.662
345,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00345_0.tif,1.9017,2.2713,,570.51,22.713
346,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00346_0.tif,1.8915,2.2815,,567.45,22.815
347,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00347_0.tif,1.8814,2.2866,,564.42,22.866
348,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00348_0.tif,1.8712,2.2916,,561.36,22.916
349,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00349_0.tif,1.8661,2.2967,,559.83,22.967
350,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00350_0.tif,1.8508,2.3069,,555.24,23.069
351,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00351_0.tif,1.8407,2.312,,552.21,23.12
352,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00352_0.tif,1.8305,2.3171,,549.15,23.171
353,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00353_0.tif,1.8203,2.3222,,546.09,23.222
354,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00354_0.tif,1.8102,2.3323,,543.06,23.323
355,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00355_0.tif,1.8051,2.3374,,541.53,23.374
356,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00356_0.tif,1.7949,2.3476,,538.47,23.476
357,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00357_0.tif,1.7847,2.3527,,535.41,23.527
358,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00358_0.tif,1.7746,2.3578,,532.38,23.578
359,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00359_0.tif,1.7644,2.3629,,529.32,23.629
360,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00360_0.tif,1.7542,2.373,,526.26,23.73
361,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00361_0.tif,1.744,2.3781,,523.2,23.781
362,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00362_0.tif,1.739,2.3832,,521.7,23.832
363,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00363_0.tif,1.7237,2.3934,,517.11,23.934
364,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00364_0.tif,1.7186,2.3985,,515.58,23.985
365,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00365_0.tif,1.7084,2.4036,,512.52,24.036
366,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00366_0.tif,1.6983,2.4137,,509.49,24.137
367,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00367_0.tif,1.683,2.4137,,504.9,24.137
368,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00368_0.tif,1.6779,2.4239,,503.37,24.239
369,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00369_0.tif,1.6677,2.429,,500.31,24.29
370,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00370_0.tif,1.6576,2.4341,,497.28,24.341
371,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00371_0.tif,1.6474,2.4443,,494.22,24.443
372,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00372_0.tif,1.6372,2.4544,,491.16,24.544
373,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00373_0.tif,1.6321,2.4544,,489.63,24.544
374,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00374_0.tif,1.622,2.4646,,486.6,24.646
375,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00375_0.tif,1.6118,2.4697,,483.54,24.697
376,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00376_0.tif,1.6016,2.4799,,480.48,24.799
377,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00377_0.tif,1.5915,2.485,,477.45,24.85
378,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00378_0.tif,1.5864,2.4901,,475.92,24.901
379,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00379_0.tif,1.5762,2.4952,,472.86,24.952
380,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00380_0.tif,1.566,2.5053,,469.8,25.053
381,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00381_0.tif,1.5558,2.5104,,466.74,25.104
382,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00382_0.tif,1.5508,2.5155,,465.24,25.155
383,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00383_0.tif,1.5406,2.5257,,462.18,25.257
384,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00384_0.tif,1.5304,2.5308,,459.12,25.308
385,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00385_0.tif,1.5202,2.5359,,456.06,25.359
386,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00386_0.tif,1.5152,2.546,,454.56,25.46
387,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00387_0.tif,1.505,2.5511,,451.5,25.511
388,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00388_0.tif,1.4948,2.5562,,448.44,25.562
389,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00389_0.tif,1.4846,2.5613,,445.38,25.613
390,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00390_0.tif,1.4796,2.5715,,443.88,25.715
391,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00391_0.tif,1.4694,2.5766,,440.82,25.766
392,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00392_0.tif,1.4592,2.5816,,437.76,25.816
393,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00393_0.tif,1.449,2.5918,,434.7,25.918
394,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00394_0.tif,1.444,2.5969,,433.2,25.969
395,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00395_0.tif,1.4389,2.6071,,431.67,26.071
396,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00396_0.tif,1.4287,2.6122,,428.61,26.122
397,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00397_0.tif,1.4185,2.6173,,425.55,26.173
398,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00398_0.tif,1.4084,2.6223,,422.52,26.223
399,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00399_0.tif,1.4033,2.6325,,420.99,26.325
400,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00400_0.tif,1.3931,2.6376,,417.93,26.376
401,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00401_0.tif,1.3829,2.6427,,414.87,26.427
402,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00402_0.tif,1.3778,2.6529,,413.34,26.529
403,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00403_0.tif,1.3677,2.658,,410.31,26.58
404,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00404_0.tif,1.3575,2.663,,407.25,26.63
405,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00405_0.tif,1.3524,2.6732,,405.72,26.732
406,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00406_0.tif,1.3422,2.6783,,402.66,26.783
407,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00407_0.tif,1.3371,2.6834,,401.13,26.834
408,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00408_0.tif,1.327,2.6885,,398.1,26.885
409,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00409_0.tif,1.3168,2.6987,,395.04,26.987
410,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00410_0.tif,1.3117,2.7037,,393.51,27.037
411,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00411_0.tif,1.3015,2.7088,,390.45,27.088
412,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00412_0.tif,1.2965,2.719,,388.95,27.19
413,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00413_0.tif,1.2863,2.7241,,385.89,27.241
414,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00414_0.tif,1.2761,2.7292,,382.83,27.292
415,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00415_0.tif,1.271,2.7394,,381.3,27.394
416,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00416_0.tif,1.2659,2.7444,,379.77,27.444
417,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00417_0.tif,1.2558,2.7495,,376.74,27.495
418,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00418_0.tif,1.2456,2.7597,,373.68,27.597
419,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00419_0.tif,1.2405,2.7597,,372.15,27.597
420,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00420_0.tif,1.2303,2.7699,,369.09,27.699
421,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00421_0.tif,1.2252,2.775,,367.56,27.75
422,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00422_0.tif,1.2151,2.7851,,364.53,27.851
423,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00423_0.tif,1.21,2.7902,,363,27.902
424,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00424_0.tif,1.1998,2.7953,,359.94,27.953
425,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00425_0.tif,1.1947,2.8004,,358.41,28.004
426,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00426_0.tif,1.1896,2.8106,,356.88,28.106
427,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00427_0.tif,1.1846,2.8157,,355.38,28.157
428,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00428_0.tif,1.1744,2.8258,,352.32,28.258
429,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00429_0.tif,1.1642,2.8309,,349.26,28.309
430,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00430_0.tif,1.1591,2.836,,347.73,28.36
431,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00431_0.tif,1.149,2.8462,,344.7,28.462
432,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00432_0.tif,1.1439,2.8513,,343.17,28.513
433,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00433_0.tif,1.1388,2.8564,,341.64,28.564
434,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00434_0.tif,1.1337,2.8615,,340.11,28.615
435,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00435_0.tif,1.1235,2.8665,,337.05,28.665
436,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00436_0.tif,1.1134,2.8767,,334.02,28.767
437,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00437_0.tif,1.1083,2.8818,,332.49,28.818
438,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00438_0.tif,1.1032,2.892,,330.96,28.92
439,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00439_0.tif,1.093,2.8971,,327.9,28.971
440,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00440_0.tif,1.0879,2.9022,,326.37,29.022
441,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00441_0.tif,1.0828,2.9123,,324.84,29.123
442,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00442_0.tif,1.0727,2.9174,,321.81,29.174
443,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00443_0.tif,1.0676,2.9225,,320.28,29.225
444,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00444_0.tif,1.0625,2.9327,,318.75,29.327
445,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00445_0.tif,1.0574,2.9378,,317.22,29.378
446,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00446_0.tif,1.0472,2.9429,,314.16,29.429
447,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00447_0.tif,1.0421,2.948,,312.63,29.48
448,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00448_0.tif,1.0371,2.9581,,311.13,29.581
449,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00449_0.tif,1.032,2.9632,,309.6,29.632
450,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00450_0.tif,1.0269,2.9683,,308.07,29.683
451,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00451_0.tif,1.0167,2.9785,,305.01,29.785
452,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00452_0.tif,1.0116,2.9836,,303.48,29.836
453,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00453_0.tif,1.0065,2.9937,,301.95,29.937
454,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00454_0.tif,0.9964,2.9937,,298.92,29.937
455,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00455_0.tif,0.9913,3.0039,,297.39,30.039
456,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00456_0.tif,0.9862,3.009,,295.86,30.09
457,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00457_0.tif,0.9811,3.0141,,294.33,30.141
458,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00458_0.tif,0.976,3.0243,,292.8,30.243
459,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00459_0.tif,0.9709,3.0294,,291.27,30.294
460,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00460_0.tif,0.9659,3.0395,,289.77,30.395
461,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00461_0.tif,0.9557,3.0395,,286.71,30.395
462,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00462_0.tif,0.9506,3.0497,,285.18,30.497
463,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00463_0.tif,0.9455,3.0599,,283.65,30.599
464,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00464_0.tif,0.9404,3.065,,282.12,30.65
465,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00465_0.tif,0.9302,3.0701,,279.06,30.701
466,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00466_0.tif,0.9252,3.0751,,277.56,30.751
467,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00467_0.tif,0.9201,3.0853,,276.03,30.853
468,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00468_0.tif,0.915,3.0904,,274.5,30.904
469,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00469_0.tif,0.9099,3.0955,,272.97,30.955
470,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00470_0.tif,0.9048,3.1006,,271.44,31.006
471,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00471_0.tif,0.8997,3.1057,,269.91,31.057
472,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00472_0.tif,0.8946,3.1158,,268.38,31.158
473,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00473_0.tif,0.8845,3.1209,,265.35,31.209
474,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00474_0.tif,0.8845,3.126,,265.35,31.26
475,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00475_0.tif,0.8743,3.1362,,262.29,31.362
476,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00476_0.tif,0.8692,3.1413,,260.76,31.413
477,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00477_0.tif,0.8641,3.1464,,259.23,31.464
478,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00478_0.tif,0.859,3.1565,,257.7,31.565
479,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00479_0.tif,0.854,3.1616,,256.2,31.616
480,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00480_0.tif,0.8489,3.1667,,254.67,31.667
481,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00481_0.tif,0.8438,3.1769,,253.14,31.769
482,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00482_0.tif,0.8336,3.182,,250.08,31.82
483,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00483_0.tif,0.8285,3.1871,,248.55,31.871
