Count,Filename_0,Dev6/ai0,Dev6/ai1,,Load (N),displacement(mm)
48,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00048_0.tif,3.275,0.2922,,982.5,2.922
49,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00049_0.tif,3.3564,0.3024,,1006.92,3.024
50,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00050_0.tif,3.4327,0.3075,,1029.81,3.075
51,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00051_0.tif,3.514,0.3126,,1054.2,3.126
52,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00052_0.tif,3.5852,0.3176,,1075.56,3.176
53,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00053_0.tif,3.6564,0.3278,,1096.92,3.278
54,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00054_0.tif,3.7277,0.3329,,1118.31,3.329
55,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00055_0.tif,3.7887,0.338,,1136.61,3.38
56,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00056_0.tif,3.8548,0.3431,,1156.44,3.431
57,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00057_0.tif,3.9158,0.3533,,1174.74,3.533
58,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00058_0.tif,3.9718,0.3583,,1191.54,3.583
59,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00059_0.tif,4.0227,0.3685,,1206.81,3.685
60,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00060_0.tif,4.0786,0.3736,,1223.58,3.736
61,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00061_0.tif,4.1295,0.3787,,1238.85,3.787
62,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00062_0.tif,4.1702,0.3838,,1251.06,3.838
63,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00063_0.tif,4.221,0.394,,1266.3,3.94
64,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00064_0.tif,4.2617,0.399,,1278.51,3.99
65,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00065_0.tif,4.3024,0.4092,,1290.72,4.092
66,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00066_0.tif,4.338,0.4143,,1301.4,4.143
67,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00067_0.tif,4.3787,0.4194,,1313.61,4.194
68,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00068_0.tif,4.4092,0.4245,,1322.76,4.245
