Count,Filename_0,Dev6/ai0,Dev6/ai1,,load,displacement
56,D:/Zhiyuan/20231102-CT/T8Pure\S1-00056_0.tif,0.386,3.9197,,1175.91,3.86
57,D:/Zhiyuan/20231102-CT/T8Pure\S1-00057_0.tif,0.3962,3.9502,,1185.06,3.962
58,D:/Zhiyuan/20231102-CT/T8Pure\S1-00058_0.tif,0.4013,3.9757,,1192.71,4.013
59,D:/Zhiyuan/20231102-CT/T8Pure\S1-00059_0.tif,0.4064,4.0011,,1200.33,4.064
60,D:/Zhiyuan/20231102-CT/T8Pure\S1-00060_0.tif,0.4115,4.0265,,1207.95,4.115
61,D:/Zhiyuan/20231102-CT/T8Pure\S1-00061_0.tif,0.4216,4.0469,,1214.07,4.216
62,D:/Zhiyuan/20231102-CT/T8Pure\S1-00062_0.tif,0.4267,4.0723,,1221.69,4.267
63,D:/Zhiyuan/20231102-CT/T8Pure\S1-00063_0.tif,0.4318,4.0927,,1227.81,4.318
64,D:/Zhiyuan/20231102-CT/T8Pure\S1-00064_0.tif,0.442,4.113,,1233.9,4.42
65,D:/Zhiyuan/20231102-CT/T8Pure\S1-00065_0.tif,0.4471,4.1334,,1240.02,4.471
66,D:/Zhiyuan/20231102-CT/T8Pure\S1-00066_0.tif,0.4521,4.1537,,1246.11,4.521
67,D:/Zhiyuan/20231102-CT/T8Pure\S1-00067_0.tif,0.4623,4.1741,,1252.23,4.623
68,D:/Zhiyuan/20231102-CT/T8Pure\S1-00068_0.tif,0.4674,4.1893,,1256.79,4.674
69,D:/Zhiyuan/20231102-CT/T8Pure\S1-00069_0.tif,0.4725,4.2046,,1261.38,4.725
70,D:/Zhiyuan/20231102-CT/T8Pure\S1-00070_0.tif,0.4827,4.2199,,1265.97,4.827
71,D:/Zhiyuan/20231102-CT/T8Pure\S1-00071_0.tif,0.4827,4.23,,1269,4.827
72,D:/Zhiyuan/20231102-CT/T8Pure\S1-00072_0.tif,0.4928,4.2402,,1272.06,4.928
73,D:/Zhiyuan/20231102-CT/T8Pure\S1-00073_0.tif,0.4979,4.2199,,1265.97,4.979
74,D:/Zhiyuan/20231102-CT/T8Pure\S1-00074_0.tif,0.5081,4.2199,,1265.97,5.081
75,D:/Zhiyuan/20231102-CT/T8Pure\S1-00075_0.tif,0.5132,4.2148,,1264.44,5.132
76,D:/Zhiyuan/20231102-CT/T8Pure\S1-00076_0.tif,0.5183,4.2097,,1262.91,5.183
77,D:/Zhiyuan/20231102-CT/T8Pure\S1-00077_0.tif,0.5234,4.2097,,1262.91,5.234
78,D:/Zhiyuan/20231102-CT/T8Pure\S1-00078_0.tif,0.5335,4.2097,,1262.91,5.335
79,D:/Zhiyuan/20231102-CT/T8Pure\S1-00079_0.tif,0.5386,4.2097,,1262.91,5.386
80,D:/Zhiyuan/20231102-CT/T8Pure\S1-00080_0.tif,0.5488,4.2148,,1264.44,5.488
81,D:/Zhiyuan/20231102-CT/T8Pure\S1-00081_0.tif,0.5539,4.2199,,1265.97,5.539
82,D:/Zhiyuan/20231102-CT/T8Pure\S1-00082_0.tif,0.559,4.2199,,1265.97,5.59
83,D:/Zhiyuan/20231102-CT/T8Pure\S1-00083_0.tif,0.564,4.2249,,1267.47,5.64
84,D:/Zhiyuan/20231102-CT/T8Pure\S1-00084_0.tif,0.5742,4.2249,,1267.47,5.742
85,D:/Zhiyuan/20231102-CT/T8Pure\S1-00085_0.tif,0.5793,4.23,,1269,5.793
86,D:/Zhiyuan/20231102-CT/T8Pure\S1-00086_0.tif,0.5895,4.23,,1269,5.895
87,D:/Zhiyuan/20231102-CT/T8Pure\S1-00087_0.tif,0.5946,4.23,,1269,5.946
88,D:/Zhiyuan/20231102-CT/T8Pure\S1-00088_0.tif,0.5996,4.23,,1269,5.996
89,D:/Zhiyuan/20231102-CT/T8Pure\S1-00089_0.tif,0.6098,4.23,,1269,6.098
90,D:/Zhiyuan/20231102-CT/T8Pure\S1-00090_0.tif,0.6149,4.23,,1269,6.149
91,D:/Zhiyuan/20231102-CT/T8Pure\S1-00091_0.tif,0.62,4.2249,,1267.47,6.2
92,D:/Zhiyuan/20231102-CT/T8Pure\S1-00092_0.tif,0.6251,4.2249,,1267.47,6.251
93,D:/Zhiyuan/20231102-CT/T8Pure\S1-00093_0.tif,0.6352,4.2249,,1267.47,6.352
94,D:/Zhiyuan/20231102-CT/T8Pure\S1-00094_0.tif,0.6403,4.2249,,1267.47,6.403
95,D:/Zhiyuan/20231102-CT/T8Pure\S1-00095_0.tif,0.6454,4.2199,,1265.97,6.454
96,D:/Zhiyuan/20231102-CT/T8Pure\S1-00096_0.tif,0.6556,4.2199,,1265.97,6.556
97,D:/Zhiyuan/20231102-CT/T8Pure\S1-00097_0.tif,0.6607,4.2148,,1264.44,6.607
98,D:/Zhiyuan/20231102-CT/T8Pure\S1-00098_0.tif,0.6658,4.2097,,1262.91,6.658
99,D:/Zhiyuan/20231102-CT/T8Pure\S1-00099_0.tif,0.6709,4.2097,,1262.91,6.709
100,D:/Zhiyuan/20231102-CT/T8Pure\S1-00100_0.tif,0.681,4.2046,,1261.38,6.81
101,D:/Zhiyuan/20231102-CT/T8Pure\S1-00101_0.tif,0.6861,4.2046,,1261.38,6.861
102,D:/Zhiyuan/20231102-CT/T8Pure\S1-00102_0.tif,0.6912,4.1995,,1259.85,6.912
103,D:/Zhiyuan/20231102-CT/T8Pure\S1-00103_0.tif,0.7014,4.1995,,1259.85,7.014
104,D:/Zhiyuan/20231102-CT/T8Pure\S1-00104_0.tif,0.7065,4.1944,,1258.32,7.065
105,D:/Zhiyuan/20231102-CT/T8Pure\S1-00105_0.tif,0.7115,4.1944,,1258.32,7.115
106,D:/Zhiyuan/20231102-CT/T8Pure\S1-00106_0.tif,0.7217,4.1842,,1255.26,7.217
107,D:/Zhiyuan/20231102-CT/T8Pure\S1-00107_0.tif,0.7268,4.1842,,1255.26,7.268
108,D:/Zhiyuan/20231102-CT/T8Pure\S1-00108_0.tif,0.7319,4.1792,,1253.76,7.319
109,D:/Zhiyuan/20231102-CT/T8Pure\S1-00109_0.tif,0.737,4.1741,,1252.23,7.37
110,D:/Zhiyuan/20231102-CT/T8Pure\S1-00110_0.tif,0.7421,4.169,,1250.7,7.421
111,D:/Zhiyuan/20231102-CT/T8Pure\S1-00111_0.tif,0.7522,4.1639,,1249.17,7.522
112,D:/Zhiyuan/20231102-CT/T8Pure\S1-00112_0.tif,0.7573,4.1588,,1247.64,7.573
113,D:/Zhiyuan/20231102-CT/T8Pure\S1-00113_0.tif,0.7624,4.1537,,1246.11,7.624
114,D:/Zhiyuan/20231102-CT/T8Pure\S1-00114_0.tif,0.7726,4.1435,,1243.05,7.726
115,D:/Zhiyuan/20231102-CT/T8Pure\S1-00115_0.tif,0.7827,4.1435,,1243.05,7.827
116,D:/Zhiyuan/20231102-CT/T8Pure\S1-00116_0.tif,0.7878,4.1334,,1240.02,7.878
117,D:/Zhiyuan/20231102-CT/T8Pure\S1-00117_0.tif,0.7929,4.1334,,1240.02,7.929
118,D:/Zhiyuan/20231102-CT/T8Pure\S1-00118_0.tif,0.798,4.1283,,1238.49,7.98
119,D:/Zhiyuan/20231102-CT/T8Pure\S1-00119_0.tif,0.8082,4.1232,,1236.96,8.082
120,D:/Zhiyuan/20231102-CT/T8Pure\S1-00120_0.tif,0.8133,4.1181,,1235.43,8.133
121,D:/Zhiyuan/20231102-CT/T8Pure\S1-00121_0.tif,0.8184,4.113,,1233.9,8.184
122,D:/Zhiyuan/20231102-CT/T8Pure\S1-00122_0.tif,0.8234,4.1028,,1230.84,8.234
123,D:/Zhiyuan/20231102-CT/T8Pure\S1-00123_0.tif,0.8336,4.0978,,1229.34,8.336
124,D:/Zhiyuan/20231102-CT/T8Pure\S1-00124_0.tif,0.8387,4.0978,,1229.34,8.387
125,D:/Zhiyuan/20231102-CT/T8Pure\S1-00125_0.tif,0.8438,4.0876,,1226.28,8.438
126,D:/Zhiyuan/20231102-CT/T8Pure\S1-00126_0.tif,0.8489,4.0825,,1224.75,8.489
127,D:/Zhiyuan/20231102-CT/T8Pure\S1-00127_0.tif,0.859,4.0825,,1224.75,8.59
