Count,Filename_0,Dev6/ai0,Dev6/ai1,,load,displacement
245,D:/Zhiyuan/20231102-CT/T8Pure\S1-00245_0.tif,1.6474,3.0599,,917.97,16.474
246,D:/Zhiyuan/20231102-CT/T8Pure\S1-00246_0.tif,1.6525,3.0548,,916.44,16.525
247,D:/Zhiyuan/20231102-CT/T8Pure\S1-00247_0.tif,1.6576,3.0446,,913.38,16.576
248,D:/Zhiyuan/20231102-CT/T8Pure\S1-00248_0.tif,1.6627,3.0344,,910.32,16.627
249,D:/Zhiyuan/20231102-CT/T8Pure\S1-00249_0.tif,1.6728,3.0243,,907.29,16.728
250,D:/Zhiyuan/20231102-CT/T8Pure\S1-00250_0.tif,1.6779,3.0192,,905.76,16.779
251,D:/Zhiyuan/20231102-CT/T8Pure\S1-00251_0.tif,1.6881,3.0039,,901.17,16.881
252,D:/Zhiyuan/20231102-CT/T8Pure\S1-00252_0.tif,1.6932,2.9988,,899.64,16.932
253,D:/Zhiyuan/20231102-CT/T8Pure\S1-00253_0.tif,1.6983,2.9887,,896.61,16.983
254,D:/Zhiyuan/20231102-CT/T8Pure\S1-00254_0.tif,1.7033,2.9785,,893.55,17.033
255,D:/Zhiyuan/20231102-CT/T8Pure\S1-00255_0.tif,1.7135,2.9683,,890.49,17.135
256,D:/Zhiyuan/20231102-CT/T8Pure\S1-00256_0.tif,1.7186,2.9632,,888.96,17.186
257,D:/Zhiyuan/20231102-CT/T8Pure\S1-00257_0.tif,1.7288,2.953,,885.9,17.288
258,D:/Zhiyuan/20231102-CT/T8Pure\S1-00258_0.tif,1.7339,2.9429,,882.87,17.339
259,D:/Zhiyuan/20231102-CT/T8Pure\S1-00259_0.tif,1.739,2.9378,,881.34,17.39
260,D:/Zhiyuan/20231102-CT/T8Pure\S1-00260_0.tif,1.744,2.9327,,879.81,17.44
261,D:/Zhiyuan/20231102-CT/T8Pure\S1-00261_0.tif,1.7542,2.9225,,876.75,17.542
262,D:/Zhiyuan/20231102-CT/T8Pure\S1-00262_0.tif,1.7593,2.9072,,872.16,17.593
263,D:/Zhiyuan/20231102-CT/T8Pure\S1-00263_0.tif,1.7644,2.9022,,870.66,17.644
264,D:/Zhiyuan/20231102-CT/T8Pure\S1-00264_0.tif,1.7746,2.892,,867.6,17.746
265,D:/Zhiyuan/20231102-CT/T8Pure\S1-00265_0.tif,1.7796,2.8818,,864.54,17.796
266,D:/Zhiyuan/20231102-CT/T8Pure\S1-00266_0.tif,1.7847,2.8716,,861.48,17.847
267,D:/Zhiyuan/20231102-CT/T8Pure\S1-00267_0.tif,1.7949,2.8665,,859.95,17.949
268,D:/Zhiyuan/20231102-CT/T8Pure\S1-00268_0.tif,1.8,2.8564,,856.92,18
269,D:/Zhiyuan/20231102-CT/T8Pure\S1-00269_0.tif,1.8051,2.8462,,853.86,18.051
270,D:/Zhiyuan/20231102-CT/T8Pure\S1-00270_0.tif,1.8152,2.836,,850.8,18.152
271,D:/Zhiyuan/20231102-CT/T8Pure\S1-00271_0.tif,1.8203,2.8309,,849.27,18.203
272,D:/Zhiyuan/20231102-CT/T8Pure\S1-00272_0.tif,1.8254,2.8157,,844.71,18.254
273,D:/Zhiyuan/20231102-CT/T8Pure\S1-00273_0.tif,1.8356,2.8106,,843.18,18.356
274,D:/Zhiyuan/20231102-CT/T8Pure\S1-00274_0.tif,1.8407,2.8004,,840.12,18.407
275,D:/Zhiyuan/20231102-CT/T8Pure\S1-00275_0.tif,1.8458,2.7902,,837.06,18.458
276,D:/Zhiyuan/20231102-CT/T8Pure\S1-00276_0.tif,1.8559,2.7851,,835.53,18.559
277,D:/Zhiyuan/20231102-CT/T8Pure\S1-00277_0.tif,1.861,2.775,,832.5,18.61
278,D:/Zhiyuan/20231102-CT/T8Pure\S1-00278_0.tif,1.8661,2.7699,,830.97,18.661
279,D:/Zhiyuan/20231102-CT/T8Pure\S1-00279_0.tif,1.8763,2.7597,,827.91,18.763
280,D:/Zhiyuan/20231102-CT/T8Pure\S1-00280_0.tif,1.8814,2.7546,,826.38,18.814
281,D:/Zhiyuan/20231102-CT/T8Pure\S1-00281_0.tif,1.8865,2.7394,,821.82,18.865
282,D:/Zhiyuan/20231102-CT/T8Pure\S1-00282_0.tif,1.8915,2.7343,,820.29,18.915
283,D:/Zhiyuan/20231102-CT/T8Pure\S1-00283_0.tif,1.9017,2.7241,,817.23,19.017
284,D:/Zhiyuan/20231102-CT/T8Pure\S1-00284_0.tif,1.9068,2.7139,,814.17,19.068
285,D:/Zhiyuan/20231102-CT/T8Pure\S1-00285_0.tif,1.9119,2.7088,,812.64,19.119
286,D:/Zhiyuan/20231102-CT/T8Pure\S1-00286_0.tif,1.917,2.6987,,809.61,19.17
287,D:/Zhiyuan/20231102-CT/T8Pure\S1-00287_0.tif,1.9271,2.6885,,806.55,19.271
288,D:/Zhiyuan/20231102-CT/T8Pure\S1-00288_0.tif,1.9322,2.6783,,803.49,19.322
289,D:/Zhiyuan/20231102-CT/T8Pure\S1-00289_0.tif,1.9373,2.6732,,801.96,19.373
290,D:/Zhiyuan/20231102-CT/T8Pure\S1-00290_0.tif,1.9475,2.663,,798.9,19.475
291,D:/Zhiyuan/20231102-CT/T8Pure\S1-00291_0.tif,1.9526,2.6529,,795.87,19.526
292,D:/Zhiyuan/20231102-CT/T8Pure\S1-00292_0.tif,1.9577,2.6478,,794.34,19.577
293,D:/Zhiyuan/20231102-CT/T8Pure\S1-00293_0.tif,1.9678,2.6376,,791.28,19.678
294,D:/Zhiyuan/20231102-CT/T8Pure\S1-00294_0.tif,1.9678,2.6274,,788.22,19.678
295,D:/Zhiyuan/20231102-CT/T8Pure\S1-00295_0.tif,1.978,2.6173,,785.19,19.78
296,D:/Zhiyuan/20231102-CT/T8Pure\S1-00296_0.tif,1.9831,2.6122,,783.66,19.831
297,D:/Zhiyuan/20231102-CT/T8Pure\S1-00297_0.tif,1.9933,2.5969,,779.07,19.933
298,D:/Zhiyuan/20231102-CT/T8Pure\S1-00298_0.tif,1.9983,2.5918,,777.54,19.983
299,D:/Zhiyuan/20231102-CT/T8Pure\S1-00299_0.tif,2.0034,2.5816,,774.48,20.034
300,D:/Zhiyuan/20231102-CT/T8Pure\S1-00300_0.tif,2.0085,2.5766,,772.98,20.085
301,D:/Zhiyuan/20231102-CT/T8Pure\S1-00301_0.tif,2.0187,2.5664,,769.92,20.187
302,D:/Zhiyuan/20231102-CT/T8Pure\S1-00302_0.tif,2.0238,2.5562,,766.86,20.238
303,D:/Zhiyuan/20231102-CT/T8Pure\S1-00303_0.tif,2.034,2.546,,763.8,20.34
304,D:/Zhiyuan/20231102-CT/T8Pure\S1-00304_0.tif,2.039,2.5409,,762.27,20.39
305,D:/Zhiyuan/20231102-CT/T8Pure\S1-00305_0.tif,2.0441,2.5308,,759.24,20.441
306,D:/Zhiyuan/20231102-CT/T8Pure\S1-00306_0.tif,2.0543,2.5206,,756.18,20.543
307,D:/Zhiyuan/20231102-CT/T8Pure\S1-00307_0.tif,2.0594,2.5104,,753.12,20.594
308,D:/Zhiyuan/20231102-CT/T8Pure\S1-00308_0.tif,2.0645,2.5002,,750.06,20.645
309,D:/Zhiyuan/20231102-CT/T8Pure\S1-00309_0.tif,2.0696,2.4952,,748.56,20.696
310,D:/Zhiyuan/20231102-CT/T8Pure\S1-00310_0.tif,2.0797,2.485,,745.5,20.797
311,D:/Zhiyuan/20231102-CT/T8Pure\S1-00311_0.tif,2.0848,2.4748,,742.44,20.848
312,D:/Zhiyuan/20231102-CT/T8Pure\S1-00312_0.tif,2.0899,2.4646,,739.38,20.899
313,D:/Zhiyuan/20231102-CT/T8Pure\S1-00313_0.tif,2.1001,2.4544,,736.32,21.001
314,D:/Zhiyuan/20231102-CT/T8Pure\S1-00314_0.tif,2.1052,2.4494,,734.82,21.052
315,D:/Zhiyuan/20231102-CT/T8Pure\S1-00315_0.tif,2.1102,2.4392,,731.76,21.102
316,D:/Zhiyuan/20231102-CT/T8Pure\S1-00316_0.tif,2.1204,2.429,,728.7,21.204
317,D:/Zhiyuan/20231102-CT/T8Pure\S1-00317_0.tif,2.1255,2.4188,,725.64,21.255
318,D:/Zhiyuan/20231102-CT/T8Pure\S1-00318_0.tif,2.1306,2.4137,,724.11,21.306
319,D:/Zhiyuan/20231102-CT/T8Pure\S1-00319_0.tif,2.1357,2.4036,,721.08,21.357
320,D:/Zhiyuan/20231102-CT/T8Pure\S1-00320_0.tif,2.1458,2.3934,,718.02,21.458
321,D:/Zhiyuan/20231102-CT/T8Pure\S1-00321_0.tif,2.1509,2.3883,,716.49,21.509
322,D:/Zhiyuan/20231102-CT/T8Pure\S1-00322_0.tif,2.1611,2.3781,,713.43,21.611
323,D:/Zhiyuan/20231102-CT/T8Pure\S1-00323_0.tif,2.1662,2.368,,710.4,21.662
324,D:/Zhiyuan/20231102-CT/T8Pure\S1-00324_0.tif,2.1713,2.3578,,707.34,21.713
325,D:/Zhiyuan/20231102-CT/T8Pure\S1-00325_0.tif,2.1764,2.3476,,704.28,21.764
326,D:/Zhiyuan/20231102-CT/T8Pure\S1-00326_0.tif,2.1865,2.3425,,702.75,21.865
327,D:/Zhiyuan/20231102-CT/T8Pure\S1-00327_0.tif,2.1916,2.3323,,699.69,21.916
328,D:/Zhiyuan/20231102-CT/T8Pure\S1-00328_0.tif,2.2018,2.3222,,696.66,22.018
329,D:/Zhiyuan/20231102-CT/T8Pure\S1-00329_0.tif,2.2069,2.312,,693.6,22.069
330,D:/Zhiyuan/20231102-CT/T8Pure\S1-00330_0.tif,2.212,2.3069,,692.07,22.12
331,D:/Zhiyuan/20231102-CT/T8Pure\S1-00331_0.tif,2.2171,2.2967,,689.01,22.171
332,D:/Zhiyuan/20231102-CT/T8Pure\S1-00332_0.tif,2.2272,2.2916,,687.48,22.272
333,D:/Zhiyuan/20231102-CT/T8Pure\S1-00333_0.tif,2.2323,2.2815,,684.45,22.323
334,D:/Zhiyuan/20231102-CT/T8Pure\S1-00334_0.tif,2.2374,2.2713,,681.39,22.374
335,D:/Zhiyuan/20231102-CT/T8Pure\S1-00335_0.tif,2.2476,2.2662,,679.86,22.476
336,D:/Zhiyuan/20231102-CT/T8Pure\S1-00336_0.tif,2.2527,2.256,,676.8,22.527
337,D:/Zhiyuan/20231102-CT/T8Pure\S1-00337_0.tif,2.2577,2.2459,,673.77,22.577
338,D:/Zhiyuan/20231102-CT/T8Pure\S1-00338_0.tif,2.2679,2.2357,,670.71,22.679
339,D:/Zhiyuan/20231102-CT/T8Pure\S1-00339_0.tif,2.273,2.2306,,669.18,22.73
340,D:/Zhiyuan/20231102-CT/T8Pure\S1-00340_0.tif,2.2781,2.2204,,666.12,22.781
341,D:/Zhiyuan/20231102-CT/T8Pure\S1-00341_0.tif,2.2883,2.2102,,663.06,22.883
342,D:/Zhiyuan/20231102-CT/T8Pure\S1-00342_0.tif,2.2933,2.2001,,660.03,22.933
343,D:/Zhiyuan/20231102-CT/T8Pure\S1-00343_0.tif,2.2984,2.1899,,656.97,22.984
344,D:/Zhiyuan/20231102-CT/T8Pure\S1-00344_0.tif,2.3086,2.1848,,655.44,23.086
345,D:/Zhiyuan/20231102-CT/T8Pure\S1-00345_0.tif,2.3137,2.1746,,652.38,23.137
346,D:/Zhiyuan/20231102-CT/T8Pure\S1-00346_0.tif,2.3188,2.1645,,649.35,23.188
347,D:/Zhiyuan/20231102-CT/T8Pure\S1-00347_0.tif,2.329,2.1543,,646.29,23.29
348,D:/Zhiyuan/20231102-CT/T8Pure\S1-00348_0.tif,2.329,2.1441,,643.23,23.29
349,D:/Zhiyuan/20231102-CT/T8Pure\S1-00349_0.tif,2.3391,2.139,,641.7,23.391
350,D:/Zhiyuan/20231102-CT/T8Pure\S1-00350_0.tif,2.3442,2.1288,,638.64,23.442
351,D:/Zhiyuan/20231102-CT/T8Pure\S1-00351_0.tif,2.3544,2.1238,,637.14,23.544
352,D:/Zhiyuan/20231102-CT/T8Pure\S1-00352_0.tif,2.3595,2.1136,,634.08,23.595
353,D:/Zhiyuan/20231102-CT/T8Pure\S1-00353_0.tif,2.3646,2.1085,,632.55,23.646
354,D:/Zhiyuan/20231102-CT/T8Pure\S1-00354_0.tif,2.3747,2.0983,,629.49,23.747
355,D:/Zhiyuan/20231102-CT/T8Pure\S1-00355_0.tif,2.3798,2.0881,,626.43,23.798
356,D:/Zhiyuan/20231102-CT/T8Pure\S1-00356_0.tif,2.3849,2.0831,,624.93,23.849
357,D:/Zhiyuan/20231102-CT/T8Pure\S1-00357_0.tif,2.39,2.0678,,620.34,23.9
358,D:/Zhiyuan/20231102-CT/T8Pure\S1-00358_0.tif,2.4002,2.0627,,618.81,24.002
359,D:/Zhiyuan/20231102-CT/T8Pure\S1-00359_0.tif,2.4052,2.0525,,615.75,24.052
360,D:/Zhiyuan/20231102-CT/T8Pure\S1-00360_0.tif,2.4103,2.0474,,614.22,24.103
361,D:/Zhiyuan/20231102-CT/T8Pure\S1-00361_0.tif,2.4205,2.0373,,611.19,24.205
362,D:/Zhiyuan/20231102-CT/T8Pure\S1-00362_0.tif,2.4256,2.0271,,608.13,24.256
363,D:/Zhiyuan/20231102-CT/T8Pure\S1-00363_0.tif,2.4307,2.0169,,605.07,24.307
364,D:/Zhiyuan/20231102-CT/T8Pure\S1-00364_0.tif,2.4358,2.0118,,603.54,24.358
365,D:/Zhiyuan/20231102-CT/T8Pure\S1-00365_0.tif,2.4459,2.0017,,600.51,24.459
366,D:/Zhiyuan/20231102-CT/T8Pure\S1-00366_0.tif,2.451,1.9915,,597.45,24.51
367,D:/Zhiyuan/20231102-CT/T8Pure\S1-00367_0.tif,2.4612,1.9864,,595.92,24.612
368,D:/Zhiyuan/20231102-CT/T8Pure\S1-00368_0.tif,2.4663,1.9762,,592.86,24.663
369,D:/Zhiyuan/20231102-CT/T8Pure\S1-00369_0.tif,2.4714,1.966,,589.8,24.714
370,D:/Zhiyuan/20231102-CT/T8Pure\S1-00370_0.tif,2.4765,1.9609,,588.27,24.765
371,D:/Zhiyuan/20231102-CT/T8Pure\S1-00371_0.tif,2.4866,1.9559,,586.77,24.866
372,D:/Zhiyuan/20231102-CT/T8Pure\S1-00372_0.tif,2.4917,1.9457,,583.71,24.917
373,D:/Zhiyuan/20231102-CT/T8Pure\S1-00373_0.tif,2.4968,1.9406,,582.18,24.968
374,D:/Zhiyuan/20231102-CT/T8Pure\S1-00374_0.tif,2.507,1.9253,,577.59,25.07
375,D:/Zhiyuan/20231102-CT/T8Pure\S1-00375_0.tif,2.5121,1.9202,,576.06,25.121
376,D:/Zhiyuan/20231102-CT/T8Pure\S1-00376_0.tif,2.5171,1.9101,,573.03,25.171
377,D:/Zhiyuan/20231102-CT/T8Pure\S1-00377_0.tif,2.5273,1.8999,,569.97,25.273
378,D:/Zhiyuan/20231102-CT/T8Pure\S1-00378_0.tif,2.5324,1.8948,,568.44,25.324
379,D:/Zhiyuan/20231102-CT/T8Pure\S1-00379_0.tif,2.5375,1.8846,,565.38,25.375
380,D:/Zhiyuan/20231102-CT/T8Pure\S1-00380_0.tif,2.5426,1.8745,,562.35,25.426
381,D:/Zhiyuan/20231102-CT/T8Pure\S1-00381_0.tif,2.5527,1.8694,,560.82,25.527
382,D:/Zhiyuan/20231102-CT/T8Pure\S1-00382_0.tif,2.5578,1.8592,,557.76,25.578
383,D:/Zhiyuan/20231102-CT/T8Pure\S1-00383_0.tif,2.568,1.849,,554.7,25.68
384,D:/Zhiyuan/20231102-CT/T8Pure\S1-00384_0.tif,2.5731,1.8439,,553.17,25.731
385,D:/Zhiyuan/20231102-CT/T8Pure\S1-00385_0.tif,2.5782,1.8338,,550.14,25.782
386,D:/Zhiyuan/20231102-CT/T8Pure\S1-00386_0.tif,2.5883,1.8236,,547.08,25.883
387,D:/Zhiyuan/20231102-CT/T8Pure\S1-00387_0.tif,2.5934,1.8185,,545.55,25.934
388,D:/Zhiyuan/20231102-CT/T8Pure\S1-00388_0.tif,2.5985,1.8083,,542.49,25.985
389,D:/Zhiyuan/20231102-CT/T8Pure\S1-00389_0.tif,2.6036,1.8032,,540.96,26.036
390,D:/Zhiyuan/20231102-CT/T8Pure\S1-00390_0.tif,2.6138,1.7931,,537.93,26.138
391,D:/Zhiyuan/20231102-CT/T8Pure\S1-00391_0.tif,2.6189,1.7829,,534.87,26.189
392,D:/Zhiyuan/20231102-CT/T8Pure\S1-00392_0.tif,2.6239,1.7727,,531.81,26.239
393,D:/Zhiyuan/20231102-CT/T8Pure\S1-00393_0.tif,2.6341,1.7625,,528.75,26.341
394,D:/Zhiyuan/20231102-CT/T8Pure\S1-00394_0.tif,2.6392,1.7574,,527.22,26.392
395,D:/Zhiyuan/20231102-CT/T8Pure\S1-00395_0.tif,2.6443,1.7524,,525.72,26.443
396,D:/Zhiyuan/20231102-CT/T8Pure\S1-00396_0.tif,2.6494,1.7422,,522.66,26.494
397,D:/Zhiyuan/20231102-CT/T8Pure\S1-00397_0.tif,2.6596,1.732,,519.6,26.596
398,D:/Zhiyuan/20231102-CT/T8Pure\S1-00398_0.tif,2.6646,1.7269,,518.07,26.646
399,D:/Zhiyuan/20231102-CT/T8Pure\S1-00399_0.tif,2.6697,1.7167,,515.01,26.697
400,D:/Zhiyuan/20231102-CT/T8Pure\S1-00400_0.tif,2.6799,1.7117,,513.51,26.799
401,D:/Zhiyuan/20231102-CT/T8Pure\S1-00401_0.tif,2.685,1.7015,,510.45,26.85
402,D:/Zhiyuan/20231102-CT/T8Pure\S1-00402_0.tif,2.6901,1.6964,,508.92,26.901
403,D:/Zhiyuan/20231102-CT/T8Pure\S1-00403_0.tif,2.7002,1.6811,,504.33,27.002
404,D:/Zhiyuan/20231102-CT/T8Pure\S1-00404_0.tif,2.7053,1.676,,502.8,27.053
405,D:/Zhiyuan/20231102-CT/T8Pure\S1-00405_0.tif,2.7155,1.671,,501.3,27.155
406,D:/Zhiyuan/20231102-CT/T8Pure\S1-00406_0.tif,2.7155,1.6608,,498.24,27.155
407,D:/Zhiyuan/20231102-CT/T8Pure\S1-00407_0.tif,2.7257,1.6557,,496.71,27.257
408,D:/Zhiyuan/20231102-CT/T8Pure\S1-00408_0.tif,2.7308,1.6455,,493.65,27.308
409,D:/Zhiyuan/20231102-CT/T8Pure\S1-00409_0.tif,2.7409,1.6353,,490.59,27.409
410,D:/Zhiyuan/20231102-CT/T8Pure\S1-00410_0.tif,2.746,1.6303,,489.09,27.46
411,D:/Zhiyuan/20231102-CT/T8Pure\S1-00411_0.tif,2.7511,1.6201,,486.03,27.511
412,D:/Zhiyuan/20231102-CT/T8Pure\S1-00412_0.tif,2.7562,1.615,,484.5,27.562
413,D:/Zhiyuan/20231102-CT/T8Pure\S1-00413_0.tif,2.7664,1.6048,,481.44,27.664
414,D:/Zhiyuan/20231102-CT/T8Pure\S1-00414_0.tif,2.7714,1.5997,,479.91,27.714
415,D:/Zhiyuan/20231102-CT/T8Pure\S1-00415_0.tif,2.7816,1.5896,,476.88,27.816
416,D:/Zhiyuan/20231102-CT/T8Pure\S1-00416_0.tif,2.7816,1.5794,,473.82,27.816
417,D:/Zhiyuan/20231102-CT/T8Pure\S1-00417_0.tif,2.7918,1.5743,,472.29,27.918
418,D:/Zhiyuan/20231102-CT/T8Pure\S1-00418_0.tif,2.7969,1.5641,,469.23,27.969
419,D:/Zhiyuan/20231102-CT/T8Pure\S1-00419_0.tif,2.802,1.5539,,466.17,28.02
420,D:/Zhiyuan/20231102-CT/T8Pure\S1-00420_0.tif,2.8121,1.5489,,464.67,28.121
421,D:/Zhiyuan/20231102-CT/T8Pure\S1-00421_0.tif,2.8172,1.5387,,461.61,28.172
422,D:/Zhiyuan/20231102-CT/T8Pure\S1-00422_0.tif,2.8223,1.5336,,460.08,28.223
423,D:/Zhiyuan/20231102-CT/T8Pure\S1-00423_0.tif,2.8325,1.5234,,457.02,28.325
424,D:/Zhiyuan/20231102-CT/T8Pure\S1-00424_0.tif,2.8376,1.5132,,453.96,28.376
425,D:/Zhiyuan/20231102-CT/T8Pure\S1-00425_0.tif,2.8427,1.5082,,452.46,28.427
426,D:/Zhiyuan/20231102-CT/T8Pure\S1-00426_0.tif,2.8528,1.498,,449.4,28.528
427,D:/Zhiyuan/20231102-CT/T8Pure\S1-00427_0.tif,2.8579,1.4929,,447.87,28.579
428,D:/Zhiyuan/20231102-CT/T8Pure\S1-00428_0.tif,2.863,1.4827,,444.81,28.63
429,D:/Zhiyuan/20231102-CT/T8Pure\S1-00429_0.tif,2.8732,1.4725,,441.75,28.732
430,D:/Zhiyuan/20231102-CT/T8Pure\S1-00430_0.tif,2.8783,1.4674,,440.22,28.783
431,D:/Zhiyuan/20231102-CT/T8Pure\S1-00431_0.tif,2.8833,1.4624,,438.72,28.833
432,D:/Zhiyuan/20231102-CT/T8Pure\S1-00432_0.tif,2.8935,1.4522,,435.66,28.935
433,D:/Zhiyuan/20231102-CT/T8Pure\S1-00433_0.tif,2.8986,1.4471,,434.13,28.986
434,D:/Zhiyuan/20231102-CT/T8Pure\S1-00434_0.tif,2.9037,1.4369,,431.07,29.037
435,D:/Zhiyuan/20231102-CT/T8Pure\S1-00435_0.tif,2.9088,1.4267,,428.01,29.088
436,D:/Zhiyuan/20231102-CT/T8Pure\S1-00436_0.tif,2.9189,1.4217,,426.51,29.189
437,D:/Zhiyuan/20231102-CT/T8Pure\S1-00437_0.tif,2.924,1.4115,,423.45,29.24
438,D:/Zhiyuan/20231102-CT/T8Pure\S1-00438_0.tif,2.9342,1.4064,,421.92,29.342
439,D:/Zhiyuan/20231102-CT/T8Pure\S1-00439_0.tif,2.9393,1.4013,,420.39,29.393
440,D:/Zhiyuan/20231102-CT/T8Pure\S1-00440_0.tif,2.9444,1.3911,,417.33,29.444
441,D:/Zhiyuan/20231102-CT/T8Pure\S1-00441_0.tif,2.9495,1.386,,415.8,29.495
442,D:/Zhiyuan/20231102-CT/T8Pure\S1-00442_0.tif,2.9596,1.3759,,412.77,29.596
443,D:/Zhiyuan/20231102-CT/T8Pure\S1-00443_0.tif,2.9647,1.3708,,411.24,29.647
444,D:/Zhiyuan/20231102-CT/T8Pure\S1-00444_0.tif,2.9698,1.3606,,408.18,29.698
445,D:/Zhiyuan/20231102-CT/T8Pure\S1-00445_0.tif,2.98,1.3504,,405.12,29.8
446,D:/Zhiyuan/20231102-CT/T8Pure\S1-00446_0.tif,2.9851,1.3504,,405.12,29.851
447,D:/Zhiyuan/20231102-CT/T8Pure\S1-00447_0.tif,2.9902,1.3352,,400.56,29.902
448,D:/Zhiyuan/20231102-CT/T8Pure\S1-00448_0.tif,3.0003,1.3301,,399.03,30.003
449,D:/Zhiyuan/20231102-CT/T8Pure\S1-00449_0.tif,3.0054,1.325,,397.5,30.054
450,D:/Zhiyuan/20231102-CT/T8Pure\S1-00450_0.tif,3.0105,1.3148,,394.44,30.105
451,D:/Zhiyuan/20231102-CT/T8Pure\S1-00451_0.tif,3.0207,1.3097,,392.91,30.207
452,D:/Zhiyuan/20231102-CT/T8Pure\S1-00452_0.tif,3.0258,1.3046,,391.38,30.258
453,D:/Zhiyuan/20231102-CT/T8Pure\S1-00453_0.tif,3.0308,1.2996,,389.88,30.308
454,D:/Zhiyuan/20231102-CT/T8Pure\S1-00454_0.tif,3.041,1.2894,,386.82,30.41
455,D:/Zhiyuan/20231102-CT/T8Pure\S1-00455_0.tif,3.0461,1.2792,,383.76,30.461
456,D:/Zhiyuan/20231102-CT/T8Pure\S1-00456_0.tif,3.0512,1.2741,,382.23,30.512
457,D:/Zhiyuan/20231102-CT/T8Pure\S1-00457_0.tif,3.0563,1.269,,380.7,30.563
458,D:/Zhiyuan/20231102-CT/T8Pure\S1-00458_0.tif,3.0664,1.2639,,379.17,30.664
459,D:/Zhiyuan/20231102-CT/T8Pure\S1-00459_0.tif,3.0715,1.2538,,376.14,30.715
460,D:/Zhiyuan/20231102-CT/T8Pure\S1-00460_0.tif,3.0817,1.2487,,374.61,30.817
461,D:/Zhiyuan/20231102-CT/T8Pure\S1-00461_0.tif,3.0868,1.2385,,371.55,30.868
462,D:/Zhiyuan/20231102-CT/T8Pure\S1-00462_0.tif,3.0919,1.2334,,370.02,30.919
463,D:/Zhiyuan/20231102-CT/T8Pure\S1-00463_0.tif,3.1021,1.2232,,366.96,31.021
464,D:/Zhiyuan/20231102-CT/T8Pure\S1-00464_0.tif,3.1071,1.2182,,365.46,31.071
465,D:/Zhiyuan/20231102-CT/T8Pure\S1-00465_0.tif,3.1122,1.2131,,363.93,31.122
466,D:/Zhiyuan/20231102-CT/T8Pure\S1-00466_0.tif,3.1173,1.208,,362.4,31.173
467,D:/Zhiyuan/20231102-CT/T8Pure\S1-00467_0.tif,3.1275,1.1978,,359.34,31.275
468,D:/Zhiyuan/20231102-CT/T8Pure\S1-00468_0.tif,3.1326,1.1876,,356.28,31.326
469,D:/Zhiyuan/20231102-CT/T8Pure\S1-00469_0.tif,3.1377,1.1825,,354.75,31.377
470,D:/Zhiyuan/20231102-CT/T8Pure\S1-00470_0.tif,3.1427,1.1775,,353.25,31.427
471,D:/Zhiyuan/20231102-CT/T8Pure\S1-00471_0.tif,3.1478,1.1673,,350.19,31.478
472,D:/Zhiyuan/20231102-CT/T8Pure\S1-00472_0.tif,3.158,1.1622,,348.66,31.58
473,D:/Zhiyuan/20231102-CT/T8Pure\S1-00473_0.tif,3.1682,1.152,,345.6,31.682
474,D:/Zhiyuan/20231102-CT/T8Pure\S1-00474_0.tif,3.1733,1.1469,,344.07,31.733
475,D:/Zhiyuan/20231102-CT/T8Pure\S1-00475_0.tif,3.1783,1.1418,,342.54,31.783
476,D:/Zhiyuan/20231102-CT/T8Pure\S1-00476_0.tif,3.1885,1.1368,,341.04,31.885
477,D:/Zhiyuan/20231102-CT/T8Pure\S1-00477_0.tif,3.1936,1.1317,,339.51,31.936
478,D:/Zhiyuan/20231102-CT/T8Pure\S1-00478_0.tif,3.1987,1.1215,,336.45,31.987
479,D:/Zhiyuan/20231102-CT/T8Pure\S1-00479_0.tif,3.2089,1.1164,,334.92,32.089
480,D:/Zhiyuan/20231102-CT/T8Pure\S1-00480_0.tif,3.2089,1.1113,,333.39,32.089
481,D:/Zhiyuan/20231102-CT/T8Pure\S1-00481_0.tif,3.219,1.1011,,330.33,32.19
482,D:/Zhiyuan/20231102-CT/T8Pure\S1-00482_0.tif,3.2241,1.0961,,328.83,32.241
483,D:/Zhiyuan/20231102-CT/T8Pure\S1-00483_0.tif,3.2292,1.091,,327.3,32.292
484,D:/Zhiyuan/20231102-CT/T8Pure\S1-00484_0.tif,3.2394,1.0859,,325.77,32.394
485,D:/Zhiyuan/20231102-CT/T8Pure\S1-00485_0.tif,3.2445,1.0757,,322.71,32.445
486,D:/Zhiyuan/20231102-CT/T8Pure\S1-00486_0.tif,3.2496,1.0706,,321.18,32.496
487,D:/Zhiyuan/20231102-CT/T8Pure\S1-00487_0.tif,3.2597,1.0655,,319.65,32.597
488,D:/Zhiyuan/20231102-CT/T8Pure\S1-00488_0.tif,3.2648,1.0604,,318.12,32.648
489,D:/Zhiyuan/20231102-CT/T8Pure\S1-00489_0.tif,3.2699,1.0503,,315.09,32.699
490,D:/Zhiyuan/20231102-CT/T8Pure\S1-00490_0.tif,3.275,1.0452,,313.56,32.75
491,D:/Zhiyuan/20231102-CT/T8Pure\S1-00491_0.tif,3.2852,1.0401,,312.03,32.852
492,D:/Zhiyuan/20231102-CT/T8Pure\S1-00492_0.tif,3.2902,1.0299,,308.97,32.902
493,D:/Zhiyuan/20231102-CT/T8Pure\S1-00493_0.tif,3.2953,1.0248,,307.44,32.953
494,D:/Zhiyuan/20231102-CT/T8Pure\S1-00494_0.tif,3.3055,1.0197,,305.91,33.055
